fecha,total,region: América Del Centro,region: América Del Norte,region: Europa,frontera: La Aurora,frontera: Valle Nuevo,frontera: San Cristóbal
2014-02-01,173476.24586474686,113013.19120402806,37720.0546607188,13163.0,77948.0,31893.40770701749,15243.972921006252
2014-03-01,200137.3302226692,128988.10570149668,48389.224521172524,13155.0,91935.0,33010.74208081591,21845.667590808003
2014-04-01,229359.1331489176,165710.43832628604,43212.69482263157,10732.0,89382.0,62422.191388671636,14661.303907846199
2014-05-01,190264.56475260793,135521.2386593173,36616.32609329061,8130.0,80202.0,56029.82194230338,8709.174391534392
2014-06-01,200093.47330128693,134941.00196309466,49299.47133819226,6933.0,98962.0,44258.49492120304,9188.618773515722
2014-07-01,237558.594805903,162582.84589978977,53891.748906113266,10928.0,102567.0,65937.77659476819,9570.814735028005
2014-08-01,225101.63196751618,164237.67883810677,39134.95312940939,11304.0,86299.0,69913.47698173931,11010.053461274845
2014-09-01,187684.78059355926,144345.0918924419,26058.688701117357,7332.0,73502.0,58339.75713246292,9335.86306182472
2014-10-01,223650.87089512646,170965.76141273646,32218.109482390017,9954.0,86176.0,72619.45403413894,19247.147746055496
2014-11-01,248017.60998571018,187794.5418497074,36831.06813600278,12941.0,95629.0,67060.48466319003,29226.50628007249
2014-12-01,325372.73464960407,249672.1901061336,53132.544543470445,12146.0,117614.0,92565.98533714117,29259.904885801363
2015-01-01,244120.9512092014,177363.789305937,41163.161903264365,13347.0,94819.0,64770.80473791486,19823.727561687054
2015-02-01,197207.24754449067,132327.29557642978,40762.951968060894,13323.0,79713.0,53125.142226837794,16607.157297515954
2015-03-01,249587.40803931904,172026.6485562247,52359.75948309433,13703.0,97898.0,68995.87491797576,19680.83270269797
2015-04-01,247561.50812161784,184946.43581212885,40574.07230948898,10582.0,87359.0,69124.87353075722,20030.96913070996
2015-05-01,226414.60772244775,169508.94081668655,38338.66690576121,7884.0,84177.0,62803.45850449224,20238.582435277054
2015-06-01,245382.68691700848,173969.44256763888,53259.244349369605,7389.0,104714.0,62313.871343907645,19115.191745255015
2015-07-01,253035.1771321548,176548.67229525387,55031.504836900924,10932.0,106690.0,64085.95908205468,18526.576621766013
2015-08-01,245666.15541175148,182715.7611424026,40773.39426934888,11590.0,90393.0,71512.32016434913,17456.48837079715
2015-09-01,206700.77080266396,159367.91214107058,28826.858661593367,7652.0,82741.0,57387.24545061117,15328.82839523403
2015-10-01,227800.27882344543,172803.78183515833,35099.496988287094,9191.0,97079.0,61769.83467430166,18240.489542234023
2015-11-01,245184.0101002201,180825.69110129538,40229.31899892471,12986.0,109966.0,60200.49224743085,20276.376851527
2015-12-01,329225.2385317896,250276.65700783863,56265.581523951,11856.0,129455.0,89628.97448503341,28123.736510934992
2016-01-01,262106.6293521066,192937.115527317,42564.51382478961,13150.0,108808.0,58566.949886503935,25325.573426412084
2016-02-01,214638.7297908925,147150.87814481193,41660.85164608057,13890.0,90711.0,48099.23988102588,23524.72988030408
2016-03-01,322030.33266050776,238870.44667783804,56246.885982669715,14293.0,116938.0,72127.9805988163,33787.47013832989
2016-04-01,211444.92035013388,157651.36618051215,34139.55416962172,9405.0,90733.0,45043.34063403904,19559.927260291373
2016-05-01,223932.92774985195,169370.96893511314,36422.958814738806,7526.0,96208.0,51124.87146566285,20744.560807432503
2016-06-01,226287.2952819879,159050.22385501658,50353.07142697131,6683.0,112889.0,49861.10166828773,14983.162023586894
2016-07-01,269012.23955853493,188728.40315524102,57301.836403293935,11278.0,129819.0,57044.28562981837,20778.54958151395
2016-08-01,258799.9277235241,200565.55700648308,37053.37071704102,10319.0,100692.0,54882.12513986865,21721.045958486782
2016-09-01,186819.30831740008,143338.3982360568,25812.897222970292,7501.768294305017,80492.85714285722,56756.32712879274,8881.188665060565
2016-10-01,249121.26446227162,194543.07647134515,33765.187990926475,9028.0,102044.0,43151.88807598828,32503.60233750321
2016-11-01,251531.9805278988,191532.65548609028,35331.32504180851,12814.0,111728.0,8246.280153887477,41278.35216495512
2016-12-01,321301.18866569793,262265.6604966653,40939.52816903266,9499.0,111577.0,57241.935894255614,48532.378070335006
2017-01-01,259641.60794906894,197417.31572475474,35958.0594554757,13566.181203015478,98917.0,47656.032675678965,34314.186988078945
